Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-118,Title,Title!163 — Address cell,"70 Pine Street, New York City, New York","70 Pine Street, New York City, New York — Historic recital address (MD 89/426); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 89/426; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-119,Title,Title!164 — Address cell,"3362 Wisteria Drive, San Diego, California 92106","3362 Wisteria Drive, San Diego, California 92106 — Historic recital address (MD 1090/94); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 1090/94; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-120,Title,Title!168 — Address cell,"310 South Michigan Ave., Chicago, Illinois","310 South Michigan Ave., Chicago, Illinois — Historic recital address (MD 88/172); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 88/172; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-121,Title,Title!169 — Address cell,"14110 Red Maple, San Antonio, Texas 78247","14110 Red Maple, San Antonio, Texas 78247 — Historic recital address (MD 1063/164); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 1063/164; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-122,Title,Title!172 — Address cell,"Oil Capital Building, Tulsa, Oklahoma","Oil Capital Building, Tulsa, Oklahoma — Historic recital address (MD 89/87); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 89/87; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-123,Title,Title!173 — Address cell,"Box 111, Sweetwater, Oklahoma 73666","Box 111, Sweetwater, Oklahoma 73666 — Historic recital address (MD 1063/164); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 1063/164; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-124,Title,Title!174 — Address cell,"27 Duryea Road, Upper Montclair, New Jersey","27 Duryea Road, Upper Montclair, New Jersey — Historic recital address (MD 89/422); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 89/422; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-125,Title,Title!175 — Address cell,"2530 E. Balfour Avenue, Fullerton, California 92631","2530 E. Balfour Avenue, Fullerton, California 92631 — Historic recital address (MD 1090/95 (face stamp); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6",Vested: MD 1090/95 (face stamp; index reads 96); EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-126,Title,Title!182 — Address cell,"812 Palace Building, Tulsa, Oklahoma","812 Palace Building, Tulsa, Oklahoma — Historic recital address (MD 81/194); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 7",Vested: MD 81/194; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-127,Title,Title!184 — Address cell,"Wichita Falls, Texas (92/115); L. Frank Palmer Wichi","Wichita Falls, Texas (92/115); L. Frank Palmer Wichi — Historic recital address (MD 92/115); current address not independently confirmed",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 7",Vested: MD 92/115; EST.\*,HIGH — the recital source is the cited vesting instrument itself,NONE — text cell,NONE,Historic recital address,"Section 8: a deed, lease, probate filing or assignment recital supplies a historic address but does not prove the present address. Displayed bare in an Address column it reads as current. No official current source was reachable this session to upgrade it.",HIGH,APPLY
P-128,Title,Title!row 189 — Comments cell (leasehold summary),"Keep separate from OCM Denali Holdings, LLC. See WI 1. Address: 1600 Corporate Drive, Birmingham, AL 35242.","Keep separate from OCM Denali Holdings, LLC. See WI 1. Address: 1600 Corporate Drive, Birmingham, AL 35242 — current address not independently confirmed.",Address qualification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Title leasehold summary,"Diversified Production LLC, 1600 Corporate Drive, Birmingham, AL 35242 - Strongest supported modern leasehold claimant","MEDIUM — not disproved, but presently self-cited from the workbook only",NONE,NONE,Current address not independently confirmed,"The task directs verification against a current official source before recommending it. Oklahoma SOS, Alabama SOS, SEC EDGAR and the corporate site are all unreachable from this environment (HTTPS 403).",MEDIUM,APPLY
P-129,OGL,OGL!OGL 4 (341/538) — Current Status / HBP Status cells,HBP Limited by Depth or Formation / RETAINED - ACTIVE / POTENTIALLY MAINTAINED,STATUS UNRESOLVED — recorded face not held; no HBP or unexpired-term basis established at the 08/05/2026 effective date,Lease status reclassification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 4","Recorded face not reviewed; no term, royalty or filing date extracted; no Section 32 production; no Title owner linked; and the row's own note records that no recorded bridge to asset OK48147.001.1 or Diversified Production LLC was located.",HIGH — established from the OGL row's own Evidence Status and Confidence fields,NONE — status text cells,NONE — no NMA or acreage figure changes,n/a,"Section 5: an old lease must not be displayed as current without an HBP or unexpired-term basis. Recorded face not reviewed; no term, royalty or filing date extracted; no Section 32 production; no Title owner linked; and the row's own note records that no recorded bridge to asset OK48147.001.1 or Diversified Production LLC was located.",CRITICAL — five of eight leases are affected,APPLY
P-130,OGL,OGL!OGL 5 (340/323) — Current Status / HBP Status cells,HBP Limited by Depth or Formation (confidence 'Low - estimate'),STATUS UNRESOLVED — recorded face not held; no HBP or unexpired-term basis established at the 08/05/2026 effective date,Lease status reclassification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 5",Recorded face NOT held; term and royalty are estimates; estimated primary term expired 11/27/1982; no assignment or release located; no Tract 2 or Tract 4 well.,HIGH — established from the OGL row's own Evidence Status and Confidence fields,NONE — status text cells,NONE — no NMA or acreage figure changes,n/a,Section 5: an old lease must not be displayed as current without an HBP or unexpired-term basis. Recorded face NOT held; term and royalty are estimates; estimated primary term expired 11/27/1982; no assignment or release located; no Tract 2 or Tract 4 well.,CRITICAL — five of eight leases are affected,APPLY
P-131,OGL,OGL!OGL 6 (352/719) — Current Status / HBP Status cells,HBP - Supported (confidence 'Low - estimate'),STATUS UNRESOLVED — recorded face not held; no HBP or unexpired-term basis established at the 08/05/2026 effective date,Lease status reclassification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 6","Recorded face NOT held; lessor, term, royalty and filing date unextracted or estimated.",HIGH — established from the OGL row's own Evidence Status and Confidence fields,NONE — status text cells,NONE — no NMA or acreage figure changes,n/a,"Section 5: an old lease must not be displayed as current without an HBP or unexpired-term basis. Recorded face NOT held; lessor, term, royalty and filing date unextracted or estimated.",CRITICAL — five of eight leases are affected,APPLY
P-132,OGL,OGL!OGL 7 (352/721) — Current Status / HBP Status cells,HBP - Supported (confidence 'Low - estimate'),STATUS UNRESOLVED — recorded face not held; no HBP or unexpired-term basis established at the 08/05/2026 effective date,Lease status reclassification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 7",Recorded face NOT held; the lessor NAME itself is marked EST.*,HIGH — established from the OGL row's own Evidence Status and Confidence fields,NONE — status text cells,NONE — no NMA or acreage figure changes,n/a,Section 5: an old lease must not be displayed as current without an HBP or unexpired-term basis. Recorded face NOT held; the lessor NAME itself is marked EST.*,CRITICAL — five of eight leases are affected,APPLY
P-133,OGL,OGL!OGL 8 (376/369) — Current Status / HBP Status cells,HBP - Supported,STATUS UNRESOLVED — recorded face not held; no HBP or unexpired-term basis established at the 08/05/2026 effective date,Lease status reclassification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 8","Recorded face not available; term, royalty and filing date unextracted; and the hidden open-item register flags an index-only competing out-conveyance at 267/638 (Euramerica 1973-A to First Western Oil & Gas Inc., undivided one-half of the NE/4) that would defeat the Great Western posting entirely.",HIGH — established from the OGL row's own Evidence Status and Confidence fields,NONE — status text cells,NONE — no NMA or acreage figure changes,n/a,"Section 5: an old lease must not be displayed as current without an HBP or unexpired-term basis. Recorded face not available; term, royalty and filing date unextracted; and the hidden open-item register flags an index-only competing out-conveyance at 267/638 (Euramerica 1973-A to First Western Oil & Gas Inc., undivided one-half of the NE/4) that would defeat the Great Western posting entirely.",CRITICAL — five of eight leases are affected,APPLY
P-134,OGL,OGL!OGL 1 (63/33) — Current Status cell,HBP Limited by Depth or Formation,HBP LIMITED BY DEPTH OR FORMATION — STATUS UNRESOLVED AT EFFECTIVE DATE; production evidence ends 2022-08,Lease status requalification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 1 (recorded face img 0353)",RETAINED - ACTIVE / POTENTIALLY MAINTAINED. Recorded face (img 0353); OCC RBDMS snapshot 2026-07-09; OTC gas series through 2022-08,HIGH,NONE,NONE,n/a,"Tract 6 has NO producing well. OGL 1's HBP rests entirely on section-wide pooled production from NE/4 and S/2 SW/4 wells, and that production evidence ends 2022-08 — 47 months before the effective date.",CRITICAL,APPLY
P-135,OGL,OGL!OGL 2 (264/345) — HBP Status cell,HBP - Supported,HBP — supported by continuous production through 2022-08 (OTC reporting cutoff); not confirmed to 08/05/2026,Lease status requalification,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 2 (face-verified 2026-08-05, Instrument 1131)","Face-verified 2026-08-05: Book 264 Page 345, Instrument 1131. Term and royalty are face values, not estimates.",HIGH — the strongest lease row in the report,NONE,NONE,n/a,"The only lease with a face-verified book/page, instrument number, execution and filing dates, term and royalty, backed by 243 and 166 producing months. Its sole defect is the stale evidence window.",HIGH,APPLY
P-136,OGL,OGL!OGL 3 (332/74-75) — Title Owner Link,No Title owner row displays OGL 3,Flag as a coverage gap: the Viersen lessors (Ralph W. Viersen Jr.; Daisy M. Viersen; Patsy Viersen Brown) appear in no Tract 1 present-owner row,Coverage reconciliation,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","OGL sheet, OGL 3 (imgs 1457-1458)",Recorded face (imgs 1457-1458). Replaces the surrendered 1970 Pan American lease (250/582; joint surrender 329/190-193).,HIGH — established by direct comparison of the OGL and Title sheets,NONE,NONE,n/a,Section 5F requires OGL coverage to reconcile against every Title owner. A face-reviewed 3/16 lease exists whose lessors are absent from the ownership schedule — either the Viersen interest is missing from Title or the lease covers an interest displayed under another name.,HIGH,APPLY
P-137,Title,Title!Tract 6 row 167 — OGL No. and Royalty/HBP cells,331/621 | 16/16; Expired,None active | Status unresolved — prior lease 331/621 expired; moved to the Runsheet and lease-history register,Remove expired lease from active OGL display,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 6, Louis Fenster row",Louis Fenster ~ 2.000000 ~ 331/621 ~ 16/16; Expired ~ Address not located ~ Vested: MD 85/366; EST.*,HIGH — the row itself states 'Expired',NONE,NONE — 2.000000 NMA unchanged,Address not located,"Section 5D: released, surrendered, expired and superseded leases belong in the Runsheet and lease-history register, not as OGL rows against a present owner.",MEDIUM,APPLY
P-138,Overview,Overview!row 41 — counts strip,8 active OGLs / 5 HBP Supported / 3 depth-limited / 11 wells / 208 Runsheet instruments,"8 leases carried: 1 HBP supported through 2022-08 only, 2 depth-limited status unresolved, 5 status unresolved (recorded face not held) / 11 wells: 5 active-coded at 2026-07-09, 6 plugged or expired / 208 Runsheet instruments",Count restatement,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Overview sheet,8 active OGLs \ 5 HBP Supported \ 3 depth-limited \ 11 wells \ 208 Runsheet instruments,HIGH,"Check whether the strip is formula-driven from the OGL/Well sheets before editing; if so, edit the source cells not the display",NONE,n/a,'8 active OGLs' and '5 HBP Supported' overstate the evidence. Five of eight leases have no recorded face held and every HBP basis ends 2022-08.,HIGH,APPLY
P-139,Overview,Overview!row 50 — LAST ENTRY cell,Not established,Not established,No change — retain,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Overview sheet,x ~ CURSORY REPORT DATED: ~ 08/05/2026 ~ LAST ENTRY: ~ Not established,HIGH,NONE,NONE,n/a,"Section 11: LAST ENTRY may be filled only when the refreshed Runsheet supports it. The Runsheet was NOT refreshed through 08/05/2026 this session, so 'Not established' remains the correct value. Do not populate it.",LOW,APPLY
P-140,Overview,Overview!row 56 — cursory report qualification,"...as of August 5, 2026. Ownership, net mineral acres, lease status, HBP status ... remain subject to confirmation by complete title examination.","...as of August 5, 2026. SEARCH SCOPE: the recorded mineral and leasehold search runs only through Book 2400/551 (03/02/2023); production evidence ends with the 2022-08 OTC reporting cutoff. Instruments recorded, and production occurring, between those cutoffs and the 08/05/2026 effective date have NOT been searched. Ownership, net mineral acres, lease status, HBP status ... remain subject to confirmation by complete title examination.",Add search-scope disclosure,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Overview / Title qualification blocks,Hidden PRESENT VESTING CONTROL: 'Search-forward period: recorded corpus and county index through Book 2400/551 (03/02/2023) plus the 2026-08-05 Drive/OCR index sweep.' Runsheet entry 166: 'The 2022-08 endpoint common to all OTC series is the reporting cutoff of the production dataset.',HIGH — both cutoffs are stated in the workbook's own hidden sheets,NONE,NONE,n/a,The report is dated effective 08/05/2026 but its record search stops 03/02/2023 and its production evidence stops 2022-08. Those cutoffs are disclosed only on hidden sheets. A reader cannot presently tell how current the report is.,CRITICAL,APPLY
P-141,Title,Title!row 199 — cursory report qualification,"...as of August 5, 2026. Ownership, net mineral acres, lease status, HBP status ... remain subject to confirmation by complete title examination.","...as of August 5, 2026. SEARCH SCOPE: the recorded mineral and leasehold search runs only through Book 2400/551 (03/02/2023); production evidence ends with the 2022-08 OTC reporting cutoff. Instruments recorded, and production occurring, between those cutoffs and the 08/05/2026 effective date have NOT been searched. Ownership, net mineral acres, lease status, HBP status ... remain subject to confirmation by complete title examination.",Add search-scope disclosure,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Overview / Title qualification blocks,Hidden PRESENT VESTING CONTROL: 'Search-forward period: recorded corpus and county index through Book 2400/551 (03/02/2023) plus the 2026-08-05 Drive/OCR index sweep.' Runsheet entry 166: 'The 2022-08 endpoint common to all OTC series is the reporting cutoff of the production dataset.',HIGH — both cutoffs are stated in the workbook's own hidden sheets,NONE,NONE,n/a,The report is dated effective 08/05/2026 but its record search stops 03/02/2023 and its production evidence stops 2022-08. Those cutoffs are disclosed only on hidden sheets. A reader cannot presently tell how current the report is.,CRITICAL,APPLY
P-142,Runsheet,Runsheet!entries 1-168 — Legal Description column,Section 32 — exact legal not extracted (166 entries),Restore the complete legal description on each affected entry from the recorded face or the county index entry,Legal description restoration,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Runsheet sheet, entries 1-168",166 of 208 Runsheet entries carry the placeholder; entries 169-208 carry complete tract legals such as 'Tract 1 — NE/4 Section 32-11N-25W',HIGH that the defect exists; the replacement text itself requires the face,NONE,NONE,n/a,Section 6 forbids replacing detailed legal descriptions with 'Section 32'. Cannot be completed from this environment — most faces are in the Drive image corpus or require county retrieval.,HIGH,CURATIVE_REQUIRED
P-143,Runsheet,Runsheet!new entry 209,(absent),"SEARCH SCOPE NOTE — recorded mineral and leasehold search-forward performed through Book 2400/551 (03/02/2023) plus a Drive/OCR index sweep dated 2026-08-05. Production evidence through 2022-08 (OTC reporting cutoff). All of Section 32, Township 11 North, Range 25 West, Beckham County, Oklahoma. Window 03/2023-08/05/2026 UNSEARCHED.",Add search-scope entry,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).",Hidden PRESENT VESTING CONTROL sheet,Search-forward period: recorded corpus and county index through Book 2400/551 (03/02/2023) plus the 2026-08-05 Drive/OCR index sweep.,HIGH,Check the Runsheet count formula — adding a row may change a displayed instrument count,Overview 'Runsheet instruments' count moves from 208 to 209 if that count is formula-driven,n/a,Makes the report's actual currency visible on a visible sheet.,MEDIUM,APPLY
P-144,Runsheet,Runsheet!entries 54-57 (2434/751; 2451/4; 2476/121; 2480/824),Index lead only; recorded face required before reliance.,"Obtain and read all four recorded faces, then restate with complete legal, execution date, filing date, interest and reservations, and post the effect to Title, OGL, WI 1 and WI 2.",Face retrieval,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Runsheet sheet, entries 54-57","54 ~ ASSN ~ 2434/751 ~ DIVERSIFIED PRODUCTION LLC, DP LEGACY CENTRAL LLC ~ TEOCALLI EXPLORATION LLC ~ Section 32 — exact legal not extracted ~ Assignment within the leasehold chain. Index lead only; recorded face required before reliance.",HIGH that the filings exist and are unread; their effect is unknown,Unknown until the faces are read,Potentially total — could remove Diversified as the current claimant,n/a,"2434/751 is an ASSIGNMENT FROM Diversified Production LLC and DP Legacy Central LLC TO Teocalli Exploration LLC, recorded after the 03/02/2023 forward-search cutoff. If Section 32 leases are within it, Diversified is not the current leasehold claimant at the effective date and the Title leasehold summary, WI 1 and WI 2 are all wrong. This single item can invalidate the report's central premise.",CRITICAL,CURATIVE_REQUIRED
